Active-HDL 10.3.3558.6081  2018-08-06 16:00:14

Elaboration top modules:
Verilog Module                Parallel2DSI_tb


----------------------------------------------------------------------------------------------------------
Verilog Module                    | Library     | Info | Compiler Version          | Compilation Options
SLICEb_19                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_20                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_21                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_22                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_23                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_24                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_25                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_26                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_27                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_28                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_29                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_30                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_31                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
q_byte_datab_CR31_ram_SLICEb_32   | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
q_byte_datab_CR31_ram_SLICEb_33   | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
q_byte_datab_CR31_ram_SLICEb_34   | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
u_PH_DLY_FIFO_fifo_pfu_0_6_1      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
u_PH_DLY_FIFO_fifo_pfu_0_6_0      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
u_PH_DLY_FIFO_fifo_pfu_0_6        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
u_PH_DLY_FIFO_fifo_pfu_0_7_3      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
u_PH_DLY_FIFO_fifo_pfu_0_7        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
u_PH_DLY_FIFO_fifo_pfu_0_7_2      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
q_byte_datab_CR31_ram_0_SLICEb_41 | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
q_byte_datab_CR31_ram_0_SLICEb_42 | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
q_byte_datab_CR31_ram_0_SLICEb_43 | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_44                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_45                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_46                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_48                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_50                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_51                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_52                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_53                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_54                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_55                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_56                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_57                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_58                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_59                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_60                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_61                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_65                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_66                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
u_PH_DLY_FIFO_SLICEb_67           | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
u_PH_DLY_FIFO_SLICEb_68           | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
u_PH_DLY_FIFO_SLICEb_75           | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
u_PH_DLY_FIFO_SLICEb_76           | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_81                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_82                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_83                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_84                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_85                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_86                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_87                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_88                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_89                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_90                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_91                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_92                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_93                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_94                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_95                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_96                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_97                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_98                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_99                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
